Invoice Number,Type,Product Code,Product Name,Description,Quantity,Unit Price,Subtotal,Total,Taxes
INV/2025/00010,out_invoice,,,"Quota mensual relatius als serveis de:
* Adequació al RGPD i a la LOPDGDD
* Manteniment expert en RGPD i a la LOPDGDD",1.00,30.70,30.70,37.15,"{""en_US"": ""21% S""}"
INV/2025/00010,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00010,out_invoice,,,INV/2025/00010,0.00,0.00,0.00,0.00,
INV/2025/00011,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,36.93,36.93,44.69,"{""en_US"": ""21% S""}"
INV/2025/00011,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00011,out_invoice,,,INV/2025/00011,0.00,0.00,0.00,0.00,
INV/2025/00012,out_invoice,,,"Quota mensual de manteniment integral sobre el
Reglament General de Protecció de Dades",1.00,31.65,31.65,38.30,"{""en_US"": ""21% S""}"
INV/2025/00012,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00012,out_invoice,,,INV/2025/00012,0.00,0.00,0.00,0.00,
INV/2025/00013,out_invoice,,,"Cuota mensual de mantenimiento integral sobre el
Reglamento General de Protección de Datos",1.00,31.91,31.91,38.61,"{""en_US"": ""21% S""}"
INV/2025/00013,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00013,out_invoice,,,INV/2025/00013,0.00,0.00,0.00,0.00,
INV/2025/00014,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,25.36,25.36,30.69,"{""en_US"": ""21% S""}"
INV/2025/00014,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00014,out_invoice,,,INV/2025/00014,0.00,0.00,0.00,0.00,
INV/2025/00015,out_invoice,,,"Mantenimiento integral sobre el RGPD
Mantenimiento integral sobre la LOPDGDD",1.00,21.08,21.08,25.51,"{""en_US"": ""21% S""}"
INV/2025/00015,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00015,out_invoice,,,INV/2025/00015,0.00,0.00,0.00,0.00,
INV/2025/00016,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,35.31,35.31,42.73,"{""en_US"": ""21% S""}"
INV/2025/00016,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00016,out_invoice,,,INV/2025/00016,0.00,0.00,0.00,0.00,
INV/2025/00017,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación al LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,26.36,26.36,31.90,"{""en_US"": ""21% S""}"
INV/2025/00017,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00017,out_invoice,,,INV/2025/00017,0.00,0.00,0.00,0.00,
INV/2025/00018,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación al LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,26.36,26.36,31.90,"{""en_US"": ""21% S""}"
INV/2025/00018,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00018,out_invoice,,,INV/2025/00018,0.00,0.00,0.00,0.00,
INV/2025/00019,out_invoice,,,"Cuota mensual relativos a los servicios del Canal de Denuncias:
Mantenimiento de la plataforma web para la recepción, almacenamiento
y gestión de denuncias.
Servicio externalizado de gestión, asesoramiento y
soporte de denuncias.",1.00,92.20,92.20,111.56,"{""en_US"": ""21% S""}"
INV/2025/00019,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00019,out_invoice,,,INV/2025/00019,0.00,0.00,0.00,0.00,
INV/2025/00020,out_invoice,,,"Cuota mensual relativos a los servicios de Delegado de Protección de Datos:
Representación como Delegado de Protección de Datos (DPD) externo
frente a la Agencia Española de Protección de Datos (AGPD).
Atender las peticiones de la Agencia Española de Protección de Datos.
Consultas ilimitadas en lo referente a las funciones y obligaciones del DPD.",1.00,40.95,40.95,49.55,"{""en_US"": ""21% S""}"
INV/2025/00020,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00020,out_invoice,,,INV/2025/00020,0.00,0.00,0.00,0.00,
INV/2025/00021,out_invoice,,,"Cuota mensual relativos a los servicios de:
* Adecuación al RGPD y a la LOPDGDD
* Mantenimiento experto en RGPD y a la LOPDGDD",1.00,97.84,97.84,118.39,"{""en_US"": ""21% S""}"
INV/2025/00021,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00021,out_invoice,,,INV/2025/00021,0.00,0.00,0.00,0.00,
INV/2025/00022,out_invoice,,,"Cuota mensual relativos a los servicios de:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,15.32,15.32,18.54,"{""en_US"": ""21% S""}"
INV/2025/00022,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00022,out_invoice,,,INV/2025/00022,0.00,0.00,0.00,0.00,
INV/2025/00023,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,36.93,36.93,44.69,"{""en_US"": ""21% S""}"
INV/2025/00023,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00023,out_invoice,,,INV/2025/00023,0.00,0.00,0.00,0.00,
INV/2025/00024,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,31.65,31.65,38.30,"{""en_US"": ""21% S""}"
INV/2025/00024,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00024,out_invoice,,,INV/2025/00024,0.00,0.00,0.00,0.00,
INV/2025/00025,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,42.23,42.23,51.10,"{""en_US"": ""21% S""}"
INV/2025/00025,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00025,out_invoice,,,INV/2025/00025,0.00,0.00,0.00,0.00,
INV/2025/00026,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,41.53,41.53,50.25,"{""en_US"": ""21% S""}"
INV/2025/00026,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00026,out_invoice,,,INV/2025/00026,0.00,0.00,0.00,0.00,
INV/2025/00027,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,44.55,44.55,53.91,"{""en_US"": ""21% S""}"
INV/2025/00027,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00027,out_invoice,,,INV/2025/00027,0.00,0.00,0.00,0.00,
INV/2025/00028,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,22.24,22.24,26.91,"{""en_US"": ""21% S""}"
INV/2025/00028,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00028,out_invoice,,,INV/2025/00028,0.00,0.00,0.00,0.00,
INV/2025/00029,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Análisis, desarrollo y puesta en marcha del Protocolo de acoso laboral,
sexual y por razón de sexo.
* Mantenimiento experto en el Protocolo de acoso laboral,
sexual y por razón de sexo.",1.00,20.45,20.45,24.74,"{""en_US"": ""21% S""}"
INV/2025/00029,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00029,out_invoice,,,INV/2025/00029,0.00,0.00,0.00,0.00,
INV/2025/00030,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Análisis, desarrollo y puesta en marcha del Protocolo de Desconexión Digital.
* Mantenimiento experto en el Protocolo de Desconexión Digital",1.00,15.32,15.32,18.54,"{""en_US"": ""21% S""}"
INV/2025/00030,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00030,out_invoice,,,INV/2025/00030,0.00,0.00,0.00,0.00,
INV/2025/00031,out_invoice,,,"Cuota mensual de mantenimiento integral sobre el
Reglamento General de Protección de Datos",1.00,15.80,15.80,19.12,"{""en_US"": ""21% S""}"
INV/2025/00031,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00031,out_invoice,,,INV/2025/00031,0.00,0.00,0.00,0.00,
INV/2025/00032,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,41.24,41.24,49.90,"{""en_US"": ""21% S""}"
INV/2025/00032,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00032,out_invoice,,,INV/2025/00032,0.00,0.00,0.00,0.00,
INV/2025/00033,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,12.48,12.48,15.10,"{""en_US"": ""21% S""}"
INV/2025/00033,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00033,out_invoice,,,INV/2025/00033,0.00,0.00,0.00,0.00,
INV/2025/00034,out_invoice,,,"Quota mensual relatius als serveis del Canal de Denúncies:
Manteniment de la plataforma web per a la recepció, emmagatzematge
i gestió de denúncies.
Servei externalitzat de gestió, assessorament i
suport de denúncies.",1.00,61.47,61.47,74.38,"{""en_US"": ""21% S""}"
INV/2025/00034,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00034,out_invoice,,,INV/2025/00034,0.00,0.00,0.00,0.00,
INV/2025/00035,out_invoice,,,"Quota mensual relatius als serveis de Delegat de Protecció de Dades:
Manteniment de la plataforma web per a la recepció, emmagatzematge
enfront de l'Agència Espanyola de Protecció de Dades (AGPD).
Atendre les peticions de l'Agència Espanyola de Protecció de Dades.
Consultes il·limitades referent a les funcions i obligacions del DPD.",1.00,43.02,43.02,52.05,"{""en_US"": ""21% S""}"
INV/2025/00035,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00035,out_invoice,,,INV/2025/00035,0.00,0.00,0.00,0.00,
INV/2025/00036,out_invoice,,,"Cuota mensual relativos a los servicios del Canal de Denuncias:
Mantenimiento de la plataforma web para la recepción, almacenamiento
y gestión de denuncias.
Servicio externalizado de gestión, asesoramiento y
soporte de denuncias.",1.00,91.69,91.69,110.94,"{""en_US"": ""21% S""}"
INV/2025/00036,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00036,out_invoice,,,INV/2025/00036,0.00,0.00,0.00,0.00,
INV/2025/00037,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,15.89,15.89,19.23,"{""en_US"": ""21% S""}"
INV/2025/00037,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00037,out_invoice,,,INV/2025/00037,0.00,0.00,0.00,0.00,
INV/2025/00038,out_invoice,,,"Cuota mensual relativos a los servicios de:
* Adecuación al RGPD y a la LOPDGDD
* Mantenimiento experto en RGPD y a la LOPDGDD",1.00,60.94,60.94,73.74,"{""en_US"": ""21% S""}"
INV/2025/00038,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00038,out_invoice,,,INV/2025/00038,0.00,0.00,0.00,0.00,
INV/2025/00039,out_invoice,,,"Cuota mensual relativos a los servicios de:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,15.32,15.32,18.54,"{""en_US"": ""21% S""}"
INV/2025/00039,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00039,out_invoice,,,INV/2025/00039,0.00,0.00,0.00,0.00,
INV/2025/00040,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,40.52,40.52,49.03,"{""en_US"": ""21% S""}"
INV/2025/00040,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00040,out_invoice,,,INV/2025/00040,0.00,0.00,0.00,0.00,
INV/2025/00041,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,31.65,31.65,38.30,"{""en_US"": ""21% S""}"
INV/2025/00041,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00041,out_invoice,,,INV/2025/00041,0.00,0.00,0.00,0.00,
INV/2025/00042,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación a la LSSI-CE
* Mantenimiento LSSI-CE",1.00,31.65,31.65,38.30,"{""en_US"": ""21% S""}"
INV/2025/00042,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00042,out_invoice,,,INV/2025/00042,0.00,0.00,0.00,0.00,
INV/2025/00043,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,32.07,32.07,38.80,"{""en_US"": ""21% S""}"
INV/2025/00043,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00043,out_invoice,,,INV/2025/00043,0.00,0.00,0.00,0.00,
INV/2025/00044,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,47.52,47.52,57.50,"{""en_US"": ""21% S""}"
INV/2025/00044,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00044,out_invoice,,,INV/2025/00044,0.00,0.00,0.00,0.00,
INV/2025/00045,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación al LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,33.39,33.39,40.40,"{""en_US"": ""21% S""}"
INV/2025/00045,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00045,out_invoice,,,INV/2025/00045,0.00,0.00,0.00,0.00,
INV/2025/00046,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,50.11,50.11,60.63,"{""en_US"": ""21% S""}"
INV/2025/00046,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00046,out_invoice,,,INV/2025/00046,0.00,0.00,0.00,0.00,
INV/2025/00047,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,44.55,44.55,53.91,"{""en_US"": ""21% S""}"
INV/2025/00047,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00047,out_invoice,,,INV/2025/00047,0.00,0.00,0.00,0.00,
INV/2025/00048,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,44.55,44.55,53.91,"{""en_US"": ""21% S""}"
INV/2025/00048,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00048,out_invoice,,,INV/2025/00048,0.00,0.00,0.00,0.00,
INV/2025/00049,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,44.55,44.55,53.91,"{""en_US"": ""21% S""}"
INV/2025/00049,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00049,out_invoice,,,INV/2025/00049,0.00,0.00,0.00,0.00,
INV/2025/00050,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,52.02,52.02,62.94,"{""en_US"": ""21% S""}"
INV/2025/00050,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00050,out_invoice,,,INV/2025/00050,0.00,0.00,0.00,0.00,
INV/2025/00051,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,36.64,36.64,44.33,"{""en_US"": ""21% S""}"
INV/2025/00051,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00051,out_invoice,,,INV/2025/00051,0.00,0.00,0.00,0.00,
INV/2025/00052,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,38.39,38.39,46.45,"{""en_US"": ""21% S""}"
INV/2025/00052,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00052,out_invoice,,,INV/2025/00052,0.00,0.00,0.00,0.00,
INV/2025/00053,out_invoice,,,"Cuota mensual de mantenimiento integral sobre el
Reglamento General de Protección de Datos",1.00,16.44,16.44,19.89,"{""en_US"": ""21% S""}"
INV/2025/00053,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00053,out_invoice,,,INV/2025/00053,0.00,0.00,0.00,0.00,
INV/2025/00054,out_invoice,,,"Cuota mensual relativos a los servicios de Delegado de Protección de Datos:
Representación como Delegado de Protecció de Datos (DPD) externo
frente a la Agencia Española de Protección de Datos (AGPD).
Atender las peticiones de la Agencia Española de Protección de Datos.
Consultas ilimitadas en lo referente a las funciones y obligaciones del DPD.
(Contrato servicios firmado 01/06/2024)",1.00,67.60,67.60,81.80,"{""en_US"": ""21% S""}"
INV/2025/00054,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00054,out_invoice,,,INV/2025/00054,0.00,0.00,0.00,0.00,
INV/2025/00055,out_invoice,,,"Cuota mensual relativos a los servicios de:
* Adecuación al RGPD y a la LOPDGDD
* Mantenimiento experto en RGPD y a la LOPDGDD",1.00,19.48,19.48,23.57,"{""en_US"": ""21% S""}"
INV/2025/00055,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00055,out_invoice,,,INV/2025/00055,0.00,0.00,0.00,0.00,
INV/2025/00056,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,31.65,31.65,38.30,"{""en_US"": ""21% S""}"
INV/2025/00056,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00056,out_invoice,,,INV/2025/00056,0.00,0.00,0.00,0.00,
INV/2025/00057,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,21.08,21.08,25.51,"{""en_US"": ""21% S""}"
INV/2025/00057,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00057,out_invoice,,,INV/2025/00057,0.00,0.00,0.00,0.00,
INV/2025/00058,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,40.71,40.71,49.26,"{""en_US"": ""21% S""}"
INV/2025/00058,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00058,out_invoice,,,INV/2025/00058,0.00,0.00,0.00,0.00,
INV/2025/00059,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación al LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,31.65,31.65,38.30,"{""en_US"": ""21% S""}"
INV/2025/00059,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00059,out_invoice,,,INV/2025/00059,0.00,0.00,0.00,0.00,
INV/2025/00060,out_invoice,,,"Cuota mensual de mantenimiento integral sobre el
Reglamento General de Protección de Datos",1.00,47.66,47.66,57.67,"{""en_US"": ""21% S""}"
INV/2025/00060,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00060,out_invoice,,,INV/2025/00060,0.00,0.00,0.00,0.00,
INV/2025/00061,out_invoice,,,"Cuota mensual relativos a los servicios del Canal de Denuncias:
Mantenimiento de la plataforma web para la recepción, almacenamiento
y gestión de denuncias.
Servicio externalizado de gestión, asesoramiento y
soporte de denuncias.",1.00,129.09,129.09,156.20,"{""en_US"": ""21% S""}"
INV/2025/00061,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00061,out_invoice,,,INV/2025/00061,0.00,0.00,0.00,0.00,
INV/2025/00062,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación al LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,44.55,44.55,53.91,"{""en_US"": ""21% S""}"
INV/2025/00062,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00062,out_invoice,,,INV/2025/00062,0.00,0.00,0.00,0.00,
INV/2025/00063,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Análisis, desarrollo y puesta en marcha del Protocolo de acoso laboral,
sexual y por razón de sexo.
* Mantenimiento experto en el Protocolo de acoso laboral,
sexual y por razón de sexo.",1.00,21.49,21.49,26.00,"{""en_US"": ""21% S""}"
INV/2025/00063,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00063,out_invoice,,,INV/2025/00063,0.00,0.00,0.00,0.00,
